Reading Year,New|Reread,Book Title,Author,Status,Link to Skeet
2025,new,King of Ashes,Ray Feist,,
2025,new,The Poppy War,RF Kuang,finished,
2025,new,Faebound,Saara El-Arifi,DNF,
2025,new,A Day of Fallen Night,Samantha Shannon,DNF,
2025,new,The Road to Neverwinter,Jaleigh Johnson,,
2025,new,The Fifth Season,N. K. Jemisin,DNF,
2025,new,Gideon the Ninth,Tamsyn Muir,finished,
2025,new,All the Light we cannot see,Anthony Doerr,,
2025,new,Hogfather,Terry Pratchett,,
2025,new,Name of the Wind,Patrick Rothfuss,DNF (likely permanent),
2025,new,Dragon Keeper,Robin Hobb,next,
2025,new,Eye of the World,Robert Jordan,inprogress,
2025,new,The Great Hunt,Robert Jordan,,
2025,new,The Dragon Reborn,Robert Jordan,,
2025,new,Fellowship of the Ring,JRR Tolkein,,
2025,new,The Two Towers,JRR Tolkein,,
2025,new,Return of the King,JRR Tolkein,,
2025,reread,The Allow of Law,Brandon Sanderson,finished,
2025,reread,Shadows of Self,Brandon Sanderson,finished,
2025,reread,Bands of Mourning,Brandon Sanderson,finished,
2025,reread,The Lost Metal,Brandon Sanderson,finished,
2025,new,Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,finished,https://bsky.app/profile/ordinarystarman.com/post/3lpity5q7j226
2025,new,Isles of the Emberdark,Brandon Sanderson,finished,
2025,new,The Dragon Republic,RF Kuang,next,
2025,new,The Burning God,RF Kuang,,
2025,new,Babel,RF Kuang,finished,
2025,new,A Wizard of Earthsea,Ursula K. Le Guin,next,
2025,reread,The Way of Kings,Brandon Sanderson,,
2025,reread,Words of Radiance,Brandon Sanderson,,
2025,reread,Oathbringer,Brandon Sanderson,,
2025,reread,Rhythm of War,Brandon Sanderson,,
2025,reread,Wind and Truth,Brandon Sanderson,,
2025,reread,The Final Empire,Brandon Sanderson,,
2025,reread,Well of Ascension,Brandon Sanderson,,
2025,reread,Hero of Ages,Brandon Sanderson,,
2025,new,The Left Hand of Darkness,Ursula K. Le Guin,inprogress,
2025,new,Katabasis,RF Kuang,finished,
